Company,Pred Next Date,Pred Next Week Volume,Prob_Air,Prob_Express,Prob_International,Prob_Surface
DTDC,2025-12-31,127.42,0.3987107770901772,0.21759686855421548,0.017394703164213033,0.366297651191394
Delhivery,2025-12-31,120.39,0.39074096600130154,0.1750559703294525,0.038709053536704764,0.39549401013254143
Shadowfax,2025-12-31,79.76,0.3166407693936579,0.1723763637517363,0.059540705867794835,0.4514421609868107
DHL Express,2025-12-31,78.39,0.3276183261183261,0.18863941613941612,0.17895149295149285,0.30479076479076467
XpressBees,2025-12-31,65.91,0.2230772320318917,0.2948421082629501,0.09687821407575128,0.3852024456294067
BlueDart,2025-12-31,61.06,0.45495045871330625,0.044138366417448296,0.04254291384183945,0.4583682610274061
FedEx India,2025-12-31,60.23,0.3002301587301586,0.3209841269841269,0.01219047619047619,0.36659523809523814
Ecom Express,2025-12-31,53.0,0.30980885977925743,0.21245799113976094,0.05170855554275637,0.42602459353822547
