Company,Week Ending,Vol_Air,Vol_Express,Vol_International,Vol_Surface,Total_Vol,%_Air,%_Express,%_International,%_Surface
Delhivery,2026-01-04,44,24,5,49,122,36.1%,19.7%,4.1%,40.2%
FedEx India,2026-01-04,22,14,3,28,67,32.8%,20.9%,4.5%,41.8%
Ecom Express,2026-01-04,29,17,3,31,80,36.2%,21.2%,3.8%,38.8%
DTDC,2026-01-04,28,18,4,33,83,33.7%,21.7%,4.8%,39.8%
DHL Express,2026-01-04,35,24,5,48,112,31.2%,21.4%,4.5%,42.9%
BlueDart,2026-01-04,20,12,4,24,60,33.3%,20.0%,6.7%,40.0%
Shadowfax,2026-01-04,18,11,3,19,51,35.3%,21.6%,5.9%,37.3%
XpressBees,2026-01-04,18,11,2,19,50,36.0%,22.0%,4.0%,38.0%
